#Nome;CPF;Tipo sanguineo;Porcentagem branco;Porcentagem vermelho;Densidade
Juliana Costa;523.947.754-80;AB-;39;51;1.052
Rafael Almeida;025.534.756-93;A+;54;46;1.037
Camila Pereira;058.385.243-12;AB-;49;37;1.042
Marcos Santos;536.957.001-27;B-;52;43;1.054
Beatriz Silva;423.070.965-30;A+;42;53;1.042
Guilherme Costa;584.934.912-45;B+;54;46;1.067
Larissa Ferreira;351.183.654-78;A+;53;47;1.072
Thiago Oliveira;654.987.321-19;AB-;43;44;1.092
Isabela Alves;456.789.654-03;O-;52;41;1.043
Gustavo Pereira;654.987.789-05;AB+;39;52;1.023
Carolina Santos;789.654.321-11;AB+;43;55;1.025
Bruno Silva;456.789.654-01;B-;40;57;1.024
Mariana Almeida;321.123.654-70;A-;37;51;1.019
Ricardo Fernandes;987.123.789-45;O-;43;54;1.022
Fernanda Sousa;132.009.876-54;AB+;35;49;1.021
André Costa;109.876.543-21;AB-;41;56;1.017
Jéssica Oliveira;121.098.765-43;O-;45;50;1.02
Vinicius Rodrigues;432.199.876-54;B+;38;53;1.021
Amanda Lima;080.246.002-76;O+;43;55;1.025
Diego Ferreira;832.468.904-68;B+;37;48;1.018
Natália Rodrigues;115.791.457-90;B-;39;54;1.022
Gabriel Almeida;467.024.050-24;O+;41;52;1.023
Letícia Gomes;913.579.135-01;A+;44;56;1.017
Alexandre Santos;321.098.907-43;O-;40;51;1.019
Larissa Costa;197.497.975-31;AB+;36;57;1.024
Daniel Oliveira;331.321.098-76;O+;42;50;1.02
Gabriela Alves;210.987.666-32;AB-;45;53;1.021
Rafael Silva;765.432.320-87;AB+;37;49;1.018
Luana Lima;422.141.876-44;A+;39;55;1.048
Felipe Fernandes;876.503.210-70;O-;43;52;1.023
Laura Sousa;543.210.387-95;O+;40;56;1.017
Rafaela Costa;321.925.814-70;O+;36;51;1.019
Lucas Oliveira;925.814.783-69;AB-;38;55;1.022
Isabella Almeida;258.141.936-92;B+;42;48;1.061
Matheus Fernandes;703.692.581-47;O-;44;53;1.024
Bianca Sousa;369.208.145-03;B+;46;52;1.023
Eduardo Costa;581.500.309-31;O-;35;50;1.02
Manuela Lima;692.581.470-36;A+;39;55;1.025
Carlos Ferreira;147.036.925-81;AB+;41;49;1.021
Vitória Rodrigues;470.369.258-14;O-;37;53;1.021
Renato Alves;814.703.692-58;AB+;43;56;1.017
Fernanda Costa;581.470.369-25;O+;40;54;1.022
Andréa Oliveira;024.680.246-80;A-;38;51;1.019
Marcelo Gomes;913.579.435-79;B-;42;57;1.027
Camila Santos;258.467.036-92;AB-;39;50;1.025
Diogo Lima;791.357.913-57;O-;35;52;1.023
Juliana Fernandes;369.258.147-03;A+;44;51;1.071
Vitoria Sousa;505.058.535-05;B+;37;49;1.021
Felipe Costa;680.246.802-46;AB+;43;53;1.018
Ricardo Ferreira;135.791.357-91;A-;38;54;1.022
Mariana Oliveira;802.468.024-68;O+;40;56;1.017
Amanda Alves;468.024.680-24;B-;47;39;1.032
Douglas Rodrigues;913.579.135-79;AB-;43;48;1.031
Luiza Lima;321.098.765-43;A+;49;51;1.021
Gabriel Fernandes;197.531.975-31;O-;48;50;1.065
Patrícia Sousa;654.321.098-76;B+;39;49;1.058
Rafaela Costa;210.987.654-32;AB+;40;49;1.038
Leonardo Oliveira;765.432.109-87;O+;56;42;1.076
Natália Almeida;432.109.876-54;B-;49;40;1.034
Alex Fernandes;876.543.210-98;A-;50;47;1.075
Bruna Costa;543.210.987-65;O+;57;43;1.065
Vinicius Santos;036.925.814-70;A+;43;42;1.023
Carlos Marighella;709.511.615-09;B+;44;55;1.065
Renan Ferreira;925.814.703-69;AB+;56;44;1.032
Maria Bethânia;390.521.540-39;A-;38;40;1.071
Carlos Alberto;009.421.735-44;B-;55;54;1.065
